time,open,high,low,close,volume
2023-06-21,52.44,52.99,52.38,52.62,707032
2023-06-22,52.81,53.05,51.95,52.44,1021586
2023-06-23,52.5,52.5,52.01,52.2,823244
2023-06-26,52.2,52.62,51.89,52.62,861394
2023-06-27,52.75,53.54,52.75,53.54,1544056
2023-06-28,53.61,53.85,53.36,53.36,967842
2023-06-29,53.36,53.42,53.05,53.05,563802
2023-06-30,53.05,53.12,52.75,52.75,734840
2023-07-03,53.05,53.24,52.75,52.99,1041108
2023-07-04,52.99,53.36,52.87,53.36,1329492
2023-07-05,53.59,54.58,53.37,53.37,1791184
2023-07-06,53.37,53.66,52.8,53.23,1522489
2023-07-07,52.94,53.87,52.94,53.73,899592
2023-07-10,53.73,54.16,53.44,53.73,1156888
2023-07-11,53.73,53.8,53.51,53.51,1093461
2023-07-12,53.51,54.01,53.44,53.73,906936
2023-07-13,54.08,54.08,53.8,54.08,1255041
2023-07-14,54.87,55.87,54.3,55.87,2826852
2023-07-17,56.37,56.51,56.01,56.37,1156882
2023-07-18,56.37,56.37,55.73,56.15,719990
2023-07-19,56.01,56.3,55.87,56.01,710544
2023-07-20,56.08,58.01,56.01,57.3,2297840
2023-07-21,56.87,57.8,56.8,57.8,1275567
2023-07-24,57.8,58.01,57.51,57.8,1175667
2023-07-25,57.8,58.65,57.8,58.01,1060033
2023-07-26,57.94,59.01,57.87,59.01,1273543
2023-07-27,59.08,60.22,59.08,59.72,1421340
2023-07-28,59.58,60.22,59.29,60.22,900725
2023-07-31,60.44,61.22,60.22,61.08,1475315
2023-08-01,61.08,61.58,60.29,60.29,1290289
2023-08-02,60.29,60.51,59.58,59.58,999318
2023-08-03,59.79,60.08,59.15,59.72,910770
2023-08-04,59.94,60.29,59.44,59.44,1620226
2023-08-07,59.65,60.29,59.44,60.29,755463
2023-08-08,59.94,60.36,59.79,60.08,638510
2023-08-09,59.94,60.44,59.22,59.29,985253
2023-08-10,59.29,59.44,58.65,58.65,1345605
2023-08-11,58.51,59.22,58.15,58.51,1146772
2023-08-14,58.58,59.37,58.51,58.94,1016349
2023-08-15,58.94,60.15,58.15,59.94,1677357
2023-08-16,59.37,60.79,59.37,60.72,2613481
2023-08-17,60.65,62.22,60.65,61.36,3708846
2023-08-18,61.08,62.72,60.15,61.01,4252285
2023-08-21,61.29,61.86,61.01,61.29,2461231
2023-08-22,61.58,61.72,59.22,61.72,2337900
2023-08-23,61.65,61.93,60.44,61.72,1422837
2023-08-24,61.72,65.04,61.43,64.97,5269510
2023-08-25,64.61,65.69,64.32,65.4,2802665
2023-08-28,66.41,68.07,65.69,67.86,2969885
2023-08-29,67.86,67.86,66.99,67.57,1556447
2023-08-30,67.28,70.89,67.21,69.74,2376554
